Processes: 553 total, 3 running, 550 sleeping, 3988 threads 
2025/06/01 16:01:55
Load Avg: 4.98, 2.43, 2.31 
CPU usage: 5.0% user, 13.28% sys, 81.71% idle 
SharedLibs: 239M resident, 59M data, 36M linkedit.
MemRegions: 1116986 total, 1278M resident, 87M private, 848M shared.
PhysMem: 7487M used (1466M wired, 3541M compressor), 146M unused.
VM: 322T vsize, 5709M framework vsize, 764720(0) swapins, 1141856(0) swapouts.
Networks: packets: 12707806/15G in, 3016632/1167M out.
Disks: 14271965/347G read, 4818787/120G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
25217  top              0.0  00:00.87 1/1   0   16     4977K 0B    0B    25210 25213 running  *0[1]         0.00000 0.00000    0   1122     88     2270657  1135328   2935      1141041   14        9       0        0.0   0      0      180    root               N/A    N/A   N/A   N/A   N/A   N/A  
25213  bash             0.0  00:00.00 1     0   11     1361K 0B    0B    25210 25210 sleeping *0[1]         0.00000 0.00000    501 513      158    32       16        303       102       46        54      0        0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25211  mdworker_shared  0.0  00:00.12 4     2   49     3457K 0B    1936K 25211 1     sleeping *0[1]         0.00000 0.00000    501 1683     148    345      142       1033      431       347       378     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25210  Python           0.0  00:00.14 1     0   19     24M   0B    4608K 25210 23001 sleeping *0[1]         0.00000 0.00000    501 4521     601    87       29        5071      534       889       774     0        0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25209  mdworker_shared  0.0  00:00.13 5     2   52     3713K 0B    1616K 25209 1     sleeping *0[1]         0.00000 0.00000    501 2208     152    368      153       1423      469       695       43      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25207  AMPArtworkAgent  0.0  00:00.20 2     1   42     4273K 0B    3888K 25207 1     sleeping  0[0]         0.00000 0.00000    501 1755     161    147      47        7291      632       2636      61      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25206  mdworker_shared  0.0  00:00.14 5     2   53     3921K 0B    1968K 25206 1     sleeping *0[1]         0.00000 0.00000    501 2253     152    510      203       2454      662       598       6       0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25205  mdworker_shared  0.0  00:00.14 5     2   53     3761K 0B    1760K 25205 1     sleeping *0[1]         0.00000 0.00000    501 2219     152    461      185       2196      601       696       13      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25198  AMPLibraryAgent  0.0  00:00.82 6     2   119    9697K 0B    7680K 25198 1     sleeping *0[10]        0.00000 0.00000    501 4456     247    638      201       8754      1534      4813      1389    0        0.0   0      0      40     jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25197  MusicCacheExtens 0.0  00:00.15 2     1   45     3473K 0B    2544K 25197 1     sleeping *0[1]         0.00000 0.00000    501 1467     152    201      82        5874      425       786       20      0        0.0   0      0      30     jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
